primary_role_id,role_ids,RBMIdLength,RBMId,Count of name
RO177,RO76,25,NHSNoReplyAllesleyPM86004,1
RO177,RO76,25,NHSNoReplyAllesleyVM86039,1
RO177,RO76,25,NHSNoReplyAllianceTY04965,1
RO177,RO76,25,NHSNoReplyAllportMPN85003,1
RO177,RO76,25,NHSNoReplyAllSaintsG83030,1
RO177,RO76,25,NHSNoReplyAllSaintsM83681,1
RO177,RO76,25,NHSNoReplyAlltGochMW91032,1
RO177,RO76,25,NHSNoReplyAlmaRdSgrJ82074,1
RO177,RO76,25,NHSNoReplyAlmaRdSgrJ82122,1
RO177,RO76,25,NHSNoReplyAlmondburB85023,1
RO177,RO76,25,NHSNoReplyAlmondRdSD81082,1
RO177,RO76,25,NHSNoReplyAlmondsbuL81127,1
RO177,RO76,25,NHSNoReplyAlnwickMGA84006,1
RO177,RO76,25,NHSNoReplyAlpertonME84638,1
RO177,RO76,25,NHSNoReplyAlpineHsSC82095,1
RO177,RO76,25,NHSNoReplyAlresfordJ82124,1
RO177,RO76,25,NHSNoReplyAlShafaMPM85123,1
RO177,RO76,25,NHSNoReplyAltonSgryM83640,1
RO177,RO76,25,NHSNoReplyAltonStSgM81044,1
RO177,RO76,25,NHSNoReplyAltrinchaP91004,1
RO177,RO76,25,NHSNoReplyAlumRockMM85149,1
RO177,RO76,25,NHSNoReplyAlvanleyFP88019,1
RO177,RO76,25,NHSNoReplyAlvastonMC81047,1
RO177,RO76,25,NHSNoReplyAlveleyMPM82601,1
RO177,RO76,25,NHSNoReplyAlverthorB87044,1
RO177,RO76,25,NHSNoReplyAlWaqasMPC82099,1
RO177,RO76,25,NHSNoReplyAlwoodleyB86008,1
RO177,RO76,25,NHSNoReplyAlynFamilW91025,1
RO177,RO76,25,NHSNoReplyAmaanahMPY01068,1
RO177,RO76,25,NHSNoReplyAmblesideA82005,1
RO177,RO76,25,NHSNoReplyAmbroseAvF81067,1
RO177,RO76,25,NHSNoReplyAmershamHK82004,1
RO177,RO76,25,NHSNoReplyAmershamVG85698,1
RO177,RO76,25,NHSNoReplyAmherstMPG82013,1
RO177,RO76,25,NHSNoReplyAmicusHthL83085,1
RO177,RO76,25,NHSNoReplyAmmanTaweW00142,1
RO177,RO76,25,NHSNoReplyAmmanTaweW00143,1
RO177,RO76,25,NHSNoReplyAmmoniteHJ81076,1
RO177,RO76,25,NHSNoReplyAmplefortB82609,1
RO177,RO76,25,NHSNoReplyAmpthillRF83006,1
RO177,RO76,25,NHSNoReplyAmwellSgrE82061,1
RO177,RO76,25,NHSNoReplyAncoatsUrP84673,1
RO177,RO76,25,NHSNoReplyAnerleySgG84624,1
RO177,RO76,25,NHSNoReplyAnfieldGPN82103,1
RO177,RO76,25,NHSNoReplyAngelHillD83005,1
RO177,RO76,25,NHSNoReplyAngelLnSgF81090,1
RO177,RO76,25,NHSNoReplyAngelSgryY00057,1
RO177,RO76,25,NHSNoReplyAnnfieldPA83644,1
RO177,RO76,25,NHSNoReplyAnsdellMPP81037,1
RO177,RO76,25,NHSNoReplyAnsteySgrC82032,1
RO177,RO76,25,NHSNoReplyApolloSgrM85158,1
RO177,RO76,25,NHSNoReplyApplebyMPA82006,1
RO177,RO76,25,NHSNoReplyAppleTreeC81048,1
RO177,RO76,25,NHSNoReplyApsleySgrM83627,1
RO177,RO76,25,NHSNoReplyArburyRdSD81016,1
RO177,RO76,25,NHSNoReplyArcadianGF85034,1
RO177,RO76,25,NHSNoReplyArchHthCrG81689,1
RO177,RO76,25,NHSNoReplyArchwayMPF83004,1
RO177,RO76,25,NHSNoReplyArchwaySgE82643,1
RO177,RO76,25,NHSNoReplyArchwoodMP88625,1
RO177,RO76,25,NHSNoReplyArdenHsMPC81634,1
RO177,RO76,25,NHSNoReplyArdinglyCG81006,1
RO177,RO76,25,NHSNoReplyArdleighSF81044,1
RO177,RO76,25,NHSNoReplyArdwickMPP84037,1
RO177,RO76,25,NHSNoReplyArgyleHthE85744,1
RO177,RO76,25,NHSNoReplyArgyleSgrE85120,1
RO177,RO76,25,NHSNoReplyArielHthCL85030,1
RO177,RO76,25,NHSNoReplyArleyHsSgJ82115,1
RO177,RO76,25,NHSNoReplyArlingtonG81050,1
RO177,RO76,25,NHSNoReplyArnosGrovF85700,1
RO177,RO76,25,NHSNoReplyArrivalPrA81634,1
RO177,RO76,25,NHSNoReplyArrowSgryM84060,1
RO177,RO76,25,NHSNoReplyArthingtoB86096,1
RO177,RO76,25,NHSNoReplyArundelSgH82021,1
RO177,RO76,25,NHSNoReplyArwystliMW96005,1
RO177,RO76,25,NHSNoReplyAshbourneC81037,1
RO177,RO76,25,NHSNoReplyAshburnhaE81615,1
RO177,RO76,25,NHSNoReplyAshburnMPA89018,1
RO177,RO76,25,NHSNoReplyAshburtonH83033,1
RO177,RO76,25,NHSNoReplyAshburtonL83010,1
RO177,RO76,25,NHSNoReplyAshbyTurnB81045,1
RO177,RO76,25,NHSNoReplyAshchurchE85032,1
RO177,RO76,25,NHSNoReplyAshcroftSB83062,1
RO177,RO76,25,NHSNoReplyAshcroftSK82061,1
RO177,RO76,25,NHSNoReplyAshcroftSP84053,1
RO177,RO76,25,NHSNoReplyAshdownFoG81024,1
RO177,RO76,25,NHSNoReplyAshdownMGG85057,1
RO177,RO76,25,NHSNoReplyAshfieldHC84067,1
RO177,RO76,25,NHSNoReplyAshfieldMB86055,1
RO177,RO76,25,NHSNoReplyAshfieldMK82054,1
RO177,RO76,25,NHSNoReplyAshfieldRM92609,1
RO177,RO76,25,NHSNoReplyAshfieldSM85026,1
RO177,RO76,25,NHSNoReplyAshfieldsN81032,1
RO177,RO76,25,NHSNoReplyAshfordMPG82080,1
RO177,RO76,25,NHSNoReplyAshGroveMW00133,1
RO177,RO76,25,NHSNoReplyAshgroveSW95024,1
RO177,RO76,25,NHSNoReplyAshingdonF81690,1
RO177,RO76,25,NHSNoReplyAshingtonJ83036,1
